300,0.223,1345.291480
600,0.608,779.220779
900,2.581,153.139357
1200,4.554,153.217569
1500,6.520,152.671756
1800,8.485,152.749491
2100,10.462,151.975684
2400,12.428,152.671756
2700,14.393,153.846154
3000,16.357,152.905199
3300,18.321,152.827305
3600,20.287,152.749491
3900,22.226,154.958678
4200,24.200,153.295861
4500,26.154,153.767299
4800,28.123,153.295861
5100,30.097,153.139357
5400,32.056,153.217569
5700,34.017,153.139357
6000,35.986,153.688525
6300,37.934,154.162384
6600,39.902,152.516523
6900,41.868,153.531218
7200,43.824,153.452685
7500,45.794,152.361605
