300,0.481,623.700624
600,0.914,694.444444
900,1.344,699.300699
1200,1.773,700.934579
1500,2.206,694.444444
1800,2.637,697.674419
2100,3.072,691.244240
2400,3.514,680.272109
2700,3.956,680.272109
3000,4.400,677.200903
3300,4.848,671.140940
3600,5.296,669.642857
3900,5.742,674.157303
4200,6.193,666.666667
4500,6.658,645.161290
4800,7.126,643.776824
5100,7.588,650.759219
5400,8.049,650.759219
5700,8.503,663.716814
6000,8.954,665.188470
6300,9.412,656.455142
6600,9.875,649.350649
6900,10.342,643.776824
7200,10.810,642.398287
7500,11.284,634.249471
7800,11.757,635.593220
8100,12.227,639.658849
8400,12.690,649.350649
8700,13.164,634.249471
9000,13.637,635.593220
9300,14.111,635.593220
9600,14.589,628.930818
9900,15.068,627.615063
10200,15.530,652.173913
10500,15.994,647.948164
10800,16.461,642.398287
11100,16.939,628.930818
11400,17.424,619.834711
11700,17.889,646.551724
12000,18.370,625.000000
12300,18.846,630.252101
12600,19.323,630.252101
12900,19.807,621.118012
13200,20.283,630.252101
13500,20.770,617.283951
13800,21.232,650.759219
14100,21.719,617.283951
14400,22.205,618.556701
14700,22.679,634.249471
15000,23.155,630.252101
15300,23.632,631.578947
15600,24.124,609.756098
15900,24.607,622.406639
16200,25.088,626.304802
16500,25.570,623.700624
16800,26.061,612.244898
17100,26.546,619.834711
17400,27.027,625.000000
17700,27.513,618.556701
18000,27.987,634.249471
18300,28.465,628.930818
18600,28.946,625.000000
18900,29.447,600.000000
19200,29.915,642.398287
19500,30.412,603.621730
19800,30.896,621.118012
20100,31.377,625.000000
20400,31.876,602.409639
20700,32.352,632.911392
21000,32.837,618.556701
21300,33.330,609.756098
21600,33.814,619.834711
21900,34.299,619.834711
22200,34.778,626.304802
22500,35.265,617.283951
22800,35.757,610.997963
23100,36.254,604.838710
23400,36.740,618.556701
23700,37.225,619.834711
24000,37.704,627.615063
24300,38.186,622.406639
24600,38.660,634.249471
24900,39.164,596.421471
25200,39.662,603.621730
25500,40.148,617.283951
25800,40.647,603.621730
26100,41.146,601.202405
26400,41.644,604.838710
26700,42.144,600.000000
27000,42.653,591.715976
27300,43.148,606.060606
27600,43.660,587.084149
27900,44.150,613.496933
28200,44.660,589.390963
